Udsagn,DISC,reverse,test
"Jeg går hurtigt til handling, også når alt ikke er afklaret.",D,FALSE,FALSE
"Jeg tager styringen, hvis jeg synes tingene går for langsomt.",D,FALSE,FALSE
"Jeg sætter høje mål, selv om de kræver ekstra pres.",D,FALSE,FALSE
"Jeg presser på for at komme videre, hvis andre tøver.",D,FALSE,FALSE
"Jeg udfordrer beslutninger, hvis jeg er uenig.",D,FALSE,FALSE
"Jeg er handlingsorienteret, også selv om alle detaljer ikke er på plads.",D,FALSE,FALSE
"Jeg holder fast i min plan, selv ved modstand.",D,FALSE,FALSE
"Jeg træffer beslutninger hurtigt, også under pres.",D,FALSE,FALSE
Jeg vælger tempo frem for perfektion.,D,FALSE,FALSE
Jeg konfronterer problemer direkte.,D,FALSE,FALSE
"Jeg nyder, når andre har et godt tempo",D,FALSE,FALSE
"Jeg styrer gerne samtaler og møder, når der mistes fokus",D,FALSE,FALSE
"Jeg sætter retningen, uden nødvendigvis at involvere alle",D,FALSE,FALSE
Jeg afslutter opgaver hurtigt frem for grundigt,D,FALSE,FALSE
"Jeg siger min mening, selv om den er upopulær.",D,FALSE,FALSE
"Jeg bryder ind, hvis jeg synes, vi spilder tiden.",D,FALSE,FALSE
Jeg tager gerne styring og ansvar,D,FALSE,FALSE
"Jeg holder fast i tempoet, når andre vil sænke det.",D,FALSE,FALSE
"Jeg tager ansvar, selv om det kan give modstand",D,FALSE,FALSE
Jeg vælger hurtige beslutninger frem for lange analyser.,D,FALSE,FALSE
"Jeg driver gerne tingene fremad, også når stemningen halter",D,FALSE,FALSE
"Jeg tager gerne styring, hvis ting går i stå",D,FALSE,FALSE
"Jeg arbejder bedst, når jeg har kontrol",D,FALSE,FALSE
Jeg udfordrer andre for at nå målet.,D,FALSE,FALSE
"Jeg deler mine idéer, også når de ikke er helt færdige.",I,FALSE,FALSE
Jeg starter gerne samtaler med mennesker jeg ikke kender.,I,FALSE,FALSE
"Jeg skaber en god stemning, også når en opgave er seriøs.",I,FALSE,FALSE
Jeg bruger energi på at få andre med på mine forslag.,I,FALSE,FALSE
