Udsagn,DISC,reverse,test
"Jeg går hurtigt til handling, også når alt ikke er afklaret",D,FALSE,FALSE
"Jeg tager styringen, hvis ting går for langsomt",D,FALSE,FALSE
Jeg er ikke glad for konkurrencer og det at konkurrere,D,TRUE,FALSE
Jeg vælger tempo og fremdrift frem for den perfekte løsning,D,FALSE,FALSE
Jeg afslutter grundigt selvom tempoet bliver langsomt,D,TRUE,FALSE
"Jeg siger min mening, selv om det kan være upopulært",D,FALSE,FALSE
"Jeg bryder ind, hvis vi spilder tiden",D,FALSE,FALSE
Jeg kan ikke lide at tage styring og ansvar,D,TRUE,FALSE
"Jeg ønsker ikke tage risiko, når jeg tager beslutninger",D,TRUE,FALSE
"Jeg tager ansvar, selv om det kan give modstand",D,FALSE,FALSE
Jeg vælger hurtige beslutninger frem for lange analyser,D,FALSE,FALSE
"Jeg udfordrer andre, for at nå målet",D,FALSE,FALSE
Jeg deler gerne mine idéer – også før de er færdige,I,FALSE,FALSE
Jeg starter gerne samtaler med mennesker jeg ikke kender,I,FALSE,FALSE
Jeg har ikke behov for anerkendelse for min indsats og mit bidrag,I,TRUE,FALSE
Jeg er meget social og nyder at have mange relationer,I,FALSE,FALSE
Jeg inspirerer andre til at prøve noget nyt,I,FALSE,FALSE
Jeg vil aldrig bruge humor i pressede situationer,I,TRUE,FALSE
"Jeg fravælger sociale aktiviteter, når jeg har travlt",I,TRUE,FALSE
Jeg elsker at gøre møder mere levende,I,FALSE,FALSE
Jeg er god til at finde fælles emner med fremmede mennesker,I,FALSE,FALSE
"Jeg taler godt, også selv om jeg ikke er forberedt",I,FALSE,FALSE
Jeg siger ikke ja til nye muligheder uden at kende detaljerne grundigt,I,TRUE,FALSE
Jeg er ikke glade for at være i centrum i grupper,I,FALSE,FALSE
Jeg foretrækker stabile rammer frem for hyppige ændringer,S,FALSE,FALSE
"Jeg fravælger at hjælpe andre, når jeg selv er presset",S,TRUE,FALSE
Jeg ønsker ikke at være prøveklud for nye uprøvede løsninger,S,FALSE,FALSE
"Jeg tilpasser mig, selvom jeg godt kan være uenig",S,FALSE,FALSE
"Jeg tager gerne konflikter, når det er nødvendigt",S,TRUE,FALSE
"Jeg foretrækker, at opgaver udføres i et roligt tempo",S,FALSE,FALSE
"Jeg bliver helst i opgaver, til de er afsluttede",S,FALSE,FALSE
"Jeg har ikke brug for reflektion, før jeg handler og beslutter",S,TRUE,FALSE
"Jeg beskytter det, der fungerer godt",S,FALSE,FALSE
"Jeg holder fast i vaner, der skaber stabilitet",S,FALSE,FALSE
Jeg undgår at presse andre for hårdt,S,FALSE,FALSE
"Jeg har færre relationer, men langvarige",S,FALSE,FALSE
"Jeg fokuserer på detaljer, fordi det giver kvalitet",C,FALSE,FALSE
"Jeg afslutter opgaver, før jeg starter nye",C,FALSE,FALSE
"Jeg sikrer, at standarder og regler bliver fulgt",C,FALSE,FALSE
"Jeg holder fast i planen, og undgår for meget spontanitet",C,FALSE,FALSE
"Jeg retter og ser fejl, også de mindre væsentlige",C,FALSE,FALSE
"Jeg tager gerne genveje, selvom de kan medføre fejl",C,TRUE,FALSE
"Jeg arbejder systematisk, og elsker god struktur",C,FALSE,FALSE
Jeg går ikke op i at bevare dokumentation til senere brug,C,TRUE,FALSE
Jeg prioriterer præcision frem for hurtighed,C,FALSE,FALSE
Jeg har ikke den store orden i mine opgaver,C,TRUE,FALSE
"Jeg trives dårligt, når der er regler og retningslinjer",C,TRUE,FALSE
"Jeg undersøger fakta grundigt, før jeg giver svar",C,FALSE,FALSE
