Udsagn,DISC,reverse,test
"Jeg handler ofte hurtigt, selv når andre synes, jeg burde vente.",D,FALSE,FALSE
"Jeg giver ofte plads til, at andre tager styringen, selvom jeg kunne gøre det.",D,TRUE,FALSE
"Jeg lader tingene køre deres gang, selv når jeg kunne presse på.",D,TRUE,FALSE
"Jeg lader tingene køre deres gang, selv når jeg kunne presse på.",D,TRUE,FALSE
"Jeg udfordrer beslutninger, selv når det skaber uro.",D,FALSE,FALSE
"Jeg er handlingsorienteret, også når jeg overser vigtige detaljer.",D,FALSE,FALSE
"Jeg giver ofte plads til, at andre tager styringen, selvom jeg kunne gøre det.",D,TRUE,FALSE
"Jeg træffer hurtige beslutninger, selv om de ikke altid er gennemtænkte.",D,FALSE,FALSE
"Jeg vælger tempo frem for grundighed, også når kvaliteten lider.",D,FALSE,FALSE
"Jeg konfronterer problemer, selv om det kan skabe konflikter.",D,FALSE,FALSE
"Jeg nyder tempo, også selv om andre har svært ved at følge med.",D,FALSE,FALSE
"Jeg styrer gerne samtaler, selv når andre føler sig overhørt.",D,FALSE,FALSE
"Jeg sætter retningen, selv om andre ikke er enige.",D,FALSE,FALSE
"Jeg lader tingene køre deres gang, selv når jeg kunne presse på.",D,TRUE,FALSE
"Jeg foretrækker at overveje længe, før jeg beslutter mig.",D,TRUE,FALSE
"Jeg bryder ind, selv når det forstyrrer andre.",D,FALSE,FALSE
"Jeg tager styring, selv når det skaber modstand.",D,FALSE,FALSE
"Jeg holder tempoet, selv når andre har brug for pauser.",D,FALSE,FALSE
"Jeg tager ansvar, selv når jeg ikke har tid til det.",D,FALSE,FALSE
"Jeg vælger hurtige beslutninger, også når jeg mangler viden.",D,FALSE,FALSE
"Jeg driver tingene fremad, selv når andre mister motivationen.",D,FALSE,FALSE
"Jeg tager styringen, også når andre allerede har styr på det.",D,FALSE,FALSE
"Jeg arbejder bedst med kontrol, også når det hæmmer samarbejdet.",D,FALSE,FALSE
"Jeg udfordrer andre, selv når det kan skabe dårlig stemning.",D,FALSE,FALSE
Jeg har det ofte fint med at lade andre tage ordet i grupper.,I,TRUE,FALSE
"Jeg starter samtaler med fremmede, selv om det kan virke påtrængende.",I,FALSE,FALSE
"Jeg prøver at skabe en god stemning, selv når det virker useriøst.",I,FALSE,FALSE
"Jeg bruger energi på at få folk med, selv når de ikke er interesserede.",I,FALSE,FALSE
"Jeg søger anerkendelse, også når det kan virke selvoptaget.",I,FALSE,FALSE
"Jeg holder kontakten med mange, selv når relationerne bliver overfladiske.",I,FALSE,FALSE
"Jeg foretrækker at observere, fremfor at være midtpunkt.",I,TRUE,FALSE
"Jeg bruger humor, også når det virker upassende.",I,FALSE,FALSE
"Jeg deltager i sociale aktiviteter, selv når jeg burde sige nej.",I,FALSE,FALSE
"Jeg foretrækker at observere, fremfor at være midtpunkt.",I,TRUE,FALSE
"Jeg deltager sjældent i samtaler, medmindre jeg har en klar pointe.",I,TRUE,FALSE
"Jeg taler frit, selv når jeg ikke har nok viden.",I,FALSE,FALSE
"Jeg fortæller historier, også når de fylder for meget.",I,FALSE,FALSE
"Jeg søger samarbejde, selv når det tager længere tid.",I,FALSE,FALSE
"Det er vigtigt at være vellidt, også når det går ud over min ærlighed.",I,FALSE,FALSE
"Jeg forsøger at motivere, selv når folk ikke ønsker det.",I,FALSE,FALSE
"Jeg skaber optimisme, også når det virker urealistisk.",I,FALSE,FALSE
"Jeg siger ja, også når jeg burde sige nej.",I,FALSE,FALSE
"Jeg deltager sjældent i samtaler, medmindre jeg har en klar pointe.",I,TRUE,FALSE
"Jeg deltager sjældent i samtaler, medmindre jeg har en klar pointe.",I,TRUE,FALSE
"Jeg nyder at være i centrum, selv når det trætter andre.",I,FALSE,FALSE
"Jeg inddrager alle, selv når det tager for lang tid.",I,FALSE,FALSE
"Jeg skaber kontakt, også når det gør folk utilpasse.",I,FALSE,FALSE
